web-scraper-order,web-scraper-start-url,Brands,Brands-href,Models,Models-href,Pages,Pages-href,Model,Network Technology,Announced,Status,Dimensions,Weight,Build,SIM,IP Rating,Display Type,Display Size,Display Resolution,Display Protection,Operating Software,Chipset,CPU,GPU,SD Card Slot,Internal Storage,Storage Type,Number of Rear Cameras,Camera,Camera Features,Rear Video,Number of Selfie Cameras,Selfie Features,Selfie Video,Headphone Jack,WLAN Technology,Bluetooth,NFC,Radio,USB,Sensors,UWB,Battery,Charging,Colors,Loudspeaker,Battery Life,Price,Approx Price
"1672847276-16352","https://www.gsmarena.com/makers.php3","Samsung
1348 devices","https://www.gsmarena.com/samsung-phones-9.php","Galaxy S5 Duos","https://www.gsmarena.com/samsung_galaxy_s5_duos-6272.php","5","https://www.gsmarena.com/samsung-phones-f-9-0-p5.php","Samsung Galaxy S5 Duos","GSM / HSPA / LTE","2014, June. Released 2014, June","Discontinued","142 x 72.5 x 8.1 mm (5.59 x 2.85 x 0.32 in)","145 g (5.11 oz)","null","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","IP67 dust/water resistant (up to 1m for 30 mins)","Super AMOLED","5.1 inches, 71.7 cm2 (~69.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~432 ppi density)","Corning Gorilla Glass 3","Android 4.4.2 (KitKat), TouchWiz UI","Qualcomm MSM8974AC Snapdragon 801 (28 nm)","Quad-core 2.5 GHz Krait 400","Adreno 330","microSDXC (dedicated slot)","16GB 2GB RAM","eMMC 5.0","Single","16 MP, f/2.2, 31mm (standard), 1/2.6"", 1.12µm, PDAF","LED flash, panorama, HDR","4K@30fps, 1080p@60fps, HDR","Single","Dual video call","1080p@30fps","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, EDR, LE, aptX","Yes","No","microUSB 3.0 (MHL 2.1 TV-out), OTG","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, gesture, heart rate","ANT+

S-Voice natural language commands and dictation

Air gestures","Li-Ion 2800 mAh, removable","Wireless (Qi) (market dependent)","Charcoal Black, Shimmery White, Electric Blue and Copper Gold","null","null","null","About 420 EUR"
"1672847278-16353","https://www.gsmarena.com/makers.php3","Samsung
1348 devices","https://www.gsmarena.com/samsung-phones-9.php","I8200 Galaxy S III mini VE","https://www.gsmarena.com/samsung_i8200_galaxy_s_iii_mini_ve-6190.php","5","https://www.gsmarena.com/samsung-phones-f-9-0-p5.php","Samsung I8200 Galaxy S III mini VE","GSM / HSPA","2014, March. Released 2014, March","Discontinued","121.6 x 63 x 9.9 mm (4.79 x 2.48 x 0.39 in)","112 g (3.95 oz)","null","Mini-SIM","null","Super AMOLED","4.0 inches, 45.5 cm2 (~59.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)","null","Android 4.2.2 (Jelly Bean)","null","1.2 GHz dual-core Cortex-A9","null","microSDHC (dedicated slot)","8GB 1GB RAM, 16GB 1GB RAM","null","Single","5 MP, AF","LED flash, panorama","720p@30fps","Single","null","","Yes","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, EDR, LE, aptX","Yes (I8200N only)","Stereo FM radio, RDS","microUSB 2.0","Accelerometer, gyro, proximity, compass","null","Li-Ion 1500 mAh, removable","null","White, Blue, Gray, Black","null","null","null","About 180 EUR"
"1672847280-16354","https://www.gsmarena.com/makers.php3","Samsung
1348 devices","https://www.gsmarena.com/samsung-phones-9.php","G3812B Galaxy S3 Slim","https://www.gsmarena.com/samsung_g3812b_galaxy_s3_slim-6209.php","5","https://www.gsmarena.com/samsung-phones-f-9-0-p5.php","Samsung G3812B Galaxy S3 Slim","GSM / HSPA","2014, March. Released 2014, March","Discontinued","133 x 66 x 9.7 mm (5.24 x 2.60 x 0.38 in)","139 g (4.90 oz)","null","Micro-SIM","null","TFT","4.52 inches, 56.3 cm2 (~64.2% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~244 ppi density)","null","Android 4.2 (Jelly Bean), TouchWiz UI","null","Quad-core 1.2 GHz","null","microSDHC (dedicated slot)","8GB 1GB RAM","null","Single","5 MP, AF","LED flash","Yes","Single","null","","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, EDR, aptX","No","No","microUSB 2.0","Accelerometer, proximity, compass","null","Li-Ion 2100 mAh, removable","null","Black, White","null","null","null","About 200 EUR"
"1672847282-16355","https://www.gsmarena.com/makers.php3","Samsung
1348 devices","https://www.gsmarena.com/samsung-phones-9.php","Galaxy Tab 4 10.1 LTE","https://www.gsmarena.com/samsung_galaxy_tab_4_10_1_lte-6239.php","5","https://www.gsmarena.com/samsung-phones-f-9-0-p5.php","Samsung Galaxy Tab 4 10.1 LTE","GSM / HSPA / LTE","2014, April. Released 2014, June","Discontinued","243.4 x 176.4 x 8 mm (9.58 x 6.94 x 0.31 in)","487 g (1.07 lb)","null","Micro-SIM","null","TFT","10.1 inches, 295.8 cm2 (~68.9% screen-to-body ratio)","1280 x 800 pixels, 16:10 ratio (~149 ppi density)","null","Android 4.4.2 (KitKat), TouchWiz UX UI","null","Quad-core 1.2 GHz","null","microSDXC (dedicated slot)","16GB 1.5GB RAM","null","Single","3.15 MP","null","720p@30fps","Single","null","","Yes","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","No","No","microUSB 2.0","Accelerometer","HDMI port","Li-Po 6800 mAh, non-removable","null","White, Black","null","null","null","About 310 EUR"
"1672847285-16356","https://www.gsmarena.com/makers.php3","Samsung
1348 devices","https://www.gsmarena.com/samsung-phones-9.php","Galaxy Tab 4 10.1 3G","https://www.gsmarena.com/samsung_galaxy_tab_4_10_1_3g-6246.php","5","https://www.gsmarena.com/samsung-phones-f-9-0-p5.php","Samsung Galaxy Tab 4 10.1 3G","GSM / HSPA","2014, April. Released 2014, June","Discontinued","243.4 x 176.4 x 8 mm (9.58 x 6.94 x 0.31 in)","487 g (1.07 lb)","null","Micro-SIM","null","TFT","10.1 inches, 295.8 cm2 (~68.9% screen-to-body ratio)","1280 x 800 pixels, 16:10 ratio (~149 ppi density)","null","Android 4.4.2 (KitKat), upgradable to 5.0.2 (Lollipop), TouchWiz UX UI","null","Quad-core 1.2 GHz","null","microSDXC (dedicated slot)","16GB 1.5GB RAM","null","Single","3.15 MP","null","720p@30fps","Single","null","","Yes","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","No","No","microUSB 2.0","Accelerometer","HDMI port","Li-Po 6800 mAh, non-removable","null","White, Black","null","null","null","About 300 EUR"
"1672847287-16357","https://www.gsmarena.com/makers.php3","Samsung
1348 devices","https://www.gsmarena.com/samsung-phones-9.php","Galaxy Tab 4 10.1","https://www.gsmarena.com/samsung_galaxy_tab_4_10_1-6247.php","5","https://www.gsmarena.com/samsung-phones-f-9-0-p5.php","Samsung Galaxy Tab 4 10.1","No cellular connectivity","2014, April. Released 2014, June","Discontinued","243.4 x 176.4 x 8 mm (9.58 x 6.94 x 0.31 in)","487 g (1.07 lb)","null","No","null","TFT","10.1 inches, 295.8 cm2 (~68.9% screen-to-body ratio)","1280 x 800 pixels, 16:10 ratio (~149 ppi density)","null","Android 4.4.2 (KitKat), TouchWiz UX UI","Qualcomm Snapdragon 400 (28 nm)","Quad-core 1.2 GHz","Adreno 305","microSDXC (dedicated slot)","16GB 1.5GB RAM","eMMC 4.5","Single","3.15 MP","null","720p@30fps","Single","null","","Yes","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","No","No","microUSB 2.0","Accelerometer","HDMI port","Li-Po 6800 mAh, non-removable","null","White, Black","null","null","null","About 270 EUR"
"1672847289-16358","https://www.gsmarena.com/makers.php3","Samsung
1348 devices","https://www.gsmarena.com/samsung-phones-9.php","Galaxy Tab 4 8.0 LTE","https://www.gsmarena.com/samsung_galaxy_tab_4_8_0_lte-6240.php","5","https://www.gsmarena.com/samsung-phones-f-9-0-p5.php","Samsung Galaxy Tab 4 8.0 LTE","GSM / HSPA / LTE","2014, April. Released 2014, June","Discontinued","210 x 124 x 8 mm (8.27 x 4.88 x 0.31 in)","320 g (11.29 oz)","null","Micro-SIM","null","TFT","8.0 inches, 185.6 cm2 (~71.3% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)","null","Android 4.4.2 (KitKat)","null","Quad-core 1.2 GHz","null","microSDXC (dedicated slot)","16GB 1.5GB RAM","null","Single","3.15 MP","null","720p@30fps","Single","null","","Yes","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","No","No","microUSB 2.0","Accelerometer","HDMI port","Li-Po 4450 mAh, non-removable","null","White, Black","null","null","null","About 350 EUR"
"1672847291-16359","https://www.gsmarena.com/makers.php3","Samsung
1348 devices","https://www.gsmarena.com/samsung-phones-9.php","Galaxy Tab 4 8.0 3G","https://www.gsmarena.com/samsung_galaxy_tab_4_8_0_3g-6248.php","5","https://www.gsmarena.com/samsung-phones-f-9-0-p5.php","Samsung Galaxy Tab 4 8.0 3G","GSM / HSPA","2014, April. Released 2014, June","Discontinued","210 x 124 x 8 mm (8.27 x 4.88 x 0.31 in)","320 g (11.29 oz)","null","Micro-SIM","null","TFT","8.0 inches, 185.6 cm2 (~71.3% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)","null","Android 4.4.2 (KitKat)","null","Quad-core 1.2 GHz","null","microSDXC (dedicated slot)","16GB 1.5GB RAM","null","Single","3.15 MP","null","720p@30fps","Single","null","","Yes","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","No","No","microUSB 2.0","Accelerometer","HDMI port","Li-Po 4450 mAh, non-removable","null","White, Black","null","null","null","About 300 EUR"
"1672847293-16360","https://www.gsmarena.com/makers.php3","Samsung
1348 devices","https://www.gsmarena.com/samsung-phones-9.php","Galaxy Tab 4 8.0","https://www.gsmarena.com/samsung_galaxy_tab_4_8_0-6249.php","5","https://www.gsmarena.com/samsung-phones-f-9-0-p5.php","Samsung Galaxy Tab 4 8.0","No cellular connectivity","2014, April. Released 2014, June","Discontinued","210 x 124 x 8 mm (8.27 x 4.88 x 0.31 in)","320 g (11.29 oz)","null","No","null","TFT","8.0 inches, 185.6 cm2 (~71.3% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)","null","Android 4.4.2 (KitKat)","Qualcomm Snapdragon 400 (28 nm)","Quad-core 1.2 GHz","Adreno 305","microSDXC (dedicated slot)","16GB 1.5GB RAM","eMMC 4.5","Single","3.15 MP","null","720p@30fps","Single","null","","Yes","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct","4.0, A2DP","No","No","microUSB 2.0","Accelerometer","HDMI port","Li-Po 4450 mAh, non-removable","null","White, Black","null","null","null","About 270 EUR"
"1672847295-16361","https://www.gsmarena.com/makers.php3","Samsung
1348 devices","https://www.gsmarena.com/samsung-phones-9.php","Galaxy Tab 4 7.0 LTE","https://www.gsmarena.com/samsung_galaxy_tab_4_7_0_lte-6241.php","5","https://www.gsmarena.com/samsung-phones-f-9-0-p5.php","Samsung Galaxy Tab 4 7.0 LTE","GSM / HSPA / LTE","2014, April. Released 2014, May","Discontinued","186.9 x 107.9 x 9 mm (7.36 x 4.25 x 0.35 in)","276 g (9.74 oz)","null","Micro-SIM","null","TFT","7.0 inches, 142.1 cm2 (~70.5% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)","null","Android 4.4.2 (KitKat), TouchWiz UX UI","Exynos 3470 Quad","Quad-core 1.2 GHz Cortex-A7","Mali-400MP4","microSDXC (dedicated slot)","8GB 1.5GB RAM, 16GB 1.5GB RAM","null","Single","3.15 MP","null","720p@30fps","Single","null","","Yes","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","No","No","microUSB 2.0","Accelerometer","null","Li-Po 4000 mAh, non-removable","null","White, Black","null","null","null","About 280 EUR"
"1672847298-16362","https://www.gsmarena.com/makers.php3","Samsung
1348 devices","https://www.gsmarena.com/samsung-phones-9.php","Galaxy Tab 4 7.0 3G","https://www.gsmarena.com/samsung_galaxy_tab_4_7_0_3g-6250.php","5","https://www.gsmarena.com/samsung-phones-f-9-0-p5.php","Samsung Galaxy Tab 4 7.0 3G","GSM / HSPA","2014, April. Released 2014, May","Discontinued","186.9 x 107.9 x 9 mm (7.36 x 4.25 x 0.35 in)","276 g (9.74 oz)","null","Micro-SIM","null","TFT","7.0 inches, 142.1 cm2 (~70.5% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)","null","Android 4.4.2 (KitKat), TouchWiz UI","Marvell PXA1088","Quad-core 1.2 GHz Cortex-A7","Vivante GC1000","microSDHC (dedicated slot)","8GB 1.5GB RAM, 16GB 1.5GB RAM","null","Single","3.15 MP","null","720p@30fps","Single","null","","Yes","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","No","No","microUSB 2.0","Accelerometer","null","Li-Po 4000 mAh, non-removable","null","White, Black","null","null","null","About 240 EUR"
"1672847300-16363","https://www.gsmarena.com/makers.php3","Samsung
1348 devices","https://www.gsmarena.com/samsung-phones-9.php","Galaxy Tab 4 7.0","https://www.gsmarena.com/samsung_galaxy_tab_4_7_0-6251.php","5","https://www.gsmarena.com/samsung-phones-f-9-0-p5.php","Samsung Galaxy Tab 4 7.0","No cellular connectivity","2014, April. Released 2014, May","Discontinued","186.9 x 107.9 x 9 mm (7.36 x 4.25 x 0.35 in)","276 g (9.74 oz)","null","No","null","TFT","7.0 inches, 142.1 cm2 (~70.5% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)","null","Android 4.4.2 (KitKat), TouchWiz UX UI","Marvell PXA1088","Quad-core 1.2 GHz","null","microSDHC (dedicated slot)","8GB 1.5GB RAM, 16GB 1.5GB RAM","null","Single","3.15 MP","null","720p@30fps","Single","null","","Yes","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","No","No","microUSB 2.0","Accelerometer","null","Li-Po 4000 mAh, non-removable","null","White, Black","null","null","null","About 190 EUR"
"1672847302-16364","https://www.gsmarena.com/makers.php3","Samsung
1348 devices","https://www.gsmarena.com/samsung-phones-9.php","ATIV SE","https://www.gsmarena.com/samsung_ativ_se-6245.php","5","https://www.gsmarena.com/samsung-phones-f-9-0-p5.php","Samsung ATIV SE","GSM / CDMA / HSPA / EVDO / LTE","2014, April. Released 2014, April","Discontinued","137.7 x 69.9 x 8.4 mm (5.42 x 2.75 x 0.33 in)","135.8 (4.80 oz)","null","Micro-SIM","null","AMOLED","5.0 inches, 68.9 cm2 (~71.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","Corning Gorilla Glass 3","Microsoft Windows Phone 8, upgradable to 8.1","Qualcomm Snapdragon 800 (28 nm)","Quad-core 2.3 GHz Krait 400","Adreno 330","microSDXC (dedicated slot)","16GB 2GB RAM","eMMC 4.5","Single","13 MP, AF","LED flash","Yes","Single","null","1080p@30fps","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","3.0, A2DP","No","No","microUSB 2.0","Accelerometer, proximity","null","Li-Ion 2600 mAh, removable","null","Gray","null","Endurance rating 60h","null","About 440 EUR"
"1672847304-16365","https://www.gsmarena.com/makers.php3","Samsung
1348 devices","https://www.gsmarena.com/samsung-phones-9.php","Galaxy Ace Style","https://www.gsmarena.com/samsung_galaxy_ace_style-6284.php","5","https://www.gsmarena.com/samsung-phones-f-9-0-p5.php","Samsung Galaxy Ace Style","GSM / HSPA","2014, April. Released 2014, May","Discontinued","121.2 x 62.7 x 10.7 mm (4.77 x 2.47 x 0.42 in)","123 g (4.34 oz)","null","Micro-SIM","null","TFT, 256K colors","4.0 inches, 45.5 cm2 (~59.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)","null","Android 4.4.2 (KitKat), TouchWiz Essence UI","null","Dual-core 1.2 GHz","null","microSDXC (dedicated slot)","4GB 512MB RAM","null","Single","5 MP, AF","null","720p@30fps","Single","null","","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes","FM radio","microUSB 2.0","Accelerometer, proximity","null","Li-Ion 1500 mAh, removable","null","Cream White, Dark Gray","null","null","null","About 120 EUR"
"1672847306-16366","https://www.gsmarena.com/makers.php3","Samsung
1348 devices","https://www.gsmarena.com/samsung-phones-9.php","I9300I Galaxy S3 Neo","https://www.gsmarena.com/samsung_i9300i_galaxy_s3_neo-6289.php","5","https://www.gsmarena.com/samsung-phones-f-9-0-p5.php","Samsung I9300I Galaxy S3 Neo","GSM / HSPA","2014, April. Released 2014, April","Discontinued","136.6 x 70.8 x 8.6 mm (5.38 x 2.79 x 0.34 in)","132 g (4.66 oz)","null","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","null","Super AMOLED","4.8 inches, 63.5 cm2 (~65.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~306 ppi density)","null","Android 4.3 (Jelly Bean), upgradable to 4.4.4 (KitKat)","Qualcomm MSM8226 Snapdragon 400 (28 nm)","Quad-core 1.2 or 1.4 GHz Cortex-A7","Adreno 305","microSDXC (dedicated slot)","16GB 1.5GB RAM","eMMC 4.5","Single","8 MP, AF","LED flash","1080p@30fps","Single","null","720p@30fps","Yes","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, EDR, aptX","Yes","Stereo FM radio, RDS","microUSB 2.0","Accelerometer, gyro, proximity, compass","S-Voice natural language commands and dictation","Li-Ion 2100 mAh, removable","null","Pebble blue, Marble white, Amber brown, Garnet red, Sapphire black, Titanium grey, La Fleur, Pink","null","null","null","About 300 EUR"
"1672847308-16367","https://www.gsmarena.com/makers.php3","Samsung
1348 devices","https://www.gsmarena.com/samsung-phones-9.php","Galaxy Beam2","https://www.gsmarena.com/samsung_galaxy_beam2-6328.php","5","https://www.gsmarena.com/samsung-phones-f-9-0-p5.php","Samsung Galaxy Beam2","GSM / HSPA","2014, April. Released 2014, July","Discontinued","134.5 x 70 x 11.6 mm (5.30 x 2.76 x 0.46 in)","165 g (5.82 oz)","null","Micro-SIM","Built-in nHD projector","TFT","4.66 inches, 61.8 cm2 (~65.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~200 ppi density)","null","Android 4.2.2 (Jelly Bean)","null","Quad-core 1.2 GHz","null","microSDXC (dedicated slot)","null","null","Single","5 MP, AF","LED flash","Yes","Single","null","","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","No","No","microUSB 2.0","Accelerometer, gyro, proximity, compass","null","Li-Ion 2600 mAh, removable","null","Gray silver","null","null","null","About 250 EUR"
"1672847310-16368","https://www.gsmarena.com/makers.php3","Samsung
1348 devices","https://www.gsmarena.com/samsung-phones-9.php","Galaxy K zoom","https://www.gsmarena.com/samsung_galaxy_k_zoom-6210.php","5","https://www.gsmarena.com/samsung-phones-f-9-0-p5.php","Samsung Galaxy K zoom","GSM / HSPA / LTE","2014, April. Released 2014, June","Discontinued","137.5 x 70.8 x 16.6 mm (5.41 x 2.79 x 0.65 in)","200 g (7.05 oz)","null","Micro-SIM","null","Super AMOLED","4.8 inches, 63.5 cm2 (~65.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~306 ppi density)","Corning Gorilla Glass 3","Android 4.4.2 (KitKat)","Exynos 5260 Hexa","Hexa-core (4x1.3 GHz Cortex A7 & 2x1.7 GHz Cortex A15)","Mali-T624 MP4","microSDXC (dedicated slot)","8GB 2GB RAM","eMMC 5.0","Single","20.7 MP, 1/2.3"", 24-240mm, 10x optical zoom, AF, OIS","Xenon & LED flash, HDR, panorama","1080p@60fps","Single","null","","Yes","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes","No","microUSB 2.0 (MHL 1.3 TV-out), OTG","Accelerometer, gyro, proximity, compass","ANT+

S-Voice natural language commands and dictation","Li-Ion 2430 mAh, removable","null","Charcoal Black, Electric Blue, Shimmery White","Voice 70dB / Noise 64dB / Ring 69dB","Endurance rating 67h","null","About 440 EUR"
"1672847313-16369","https://www.gsmarena.com/makers.php3","Samsung
1348 devices","https://www.gsmarena.com/samsung-phones-9.php","Galaxy S5 Active","https://www.gsmarena.com/samsung_galaxy_s5_active-6356.php","5","https://www.gsmarena.com/samsung-phones-f-9-0-p5.php","Samsung Galaxy S5 Active","GSM / HSPA / LTE","2014, May. Released 2014, May","Discontinued","145.3 x 73.4 x 8.9 mm (5.72 x 2.89 x 0.35 in)","170.1 g (6.00 oz)","null","Micro-SIM","IP67 dust/water resistant (up to 1m for 30 mins)

MIL-STD-810F compliant","Super AMOLED","5.1 inches, 71.7 cm2 (~67.2% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~432 ppi density)","Corning Gorilla Glass 3","Android 4.4.2 (KitKat), upgradable to 6.0.1 (Marshmallow), TouchWiz UI","Qualcomm Snapdragon 801 (28 nm)","Quad-core 2.5 GHz Krait 400","Adreno 330","microSDXC (dedicated slot)","16GB (11.2GB user available), 2GB RAM","eMMC 5.0","Single","16 MP, f/2.2, 31mm (standard), AF","LED flash, panorama, HDR","4K@30fps, 1080p@30fps","Single","null","1080p@30fps","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, EDR, LE, aptX","Yes","No","microUSB 2.0, OTG","Accelerometer, gyro, proximity, compass, heart rate","HDMI port","Li-Ion 2800 mAh, removable","null","Camo Green, Titanium Grey, Ruby Red","Voice 73dB / Noise 69dB / Ring 76dB","Endurance rating 70h","null","About 400 EUR"
"1672847315-16370","https://www.gsmarena.com/makers.php3","Samsung
1348 devices","https://www.gsmarena.com/samsung-phones-9.php","Z","https://www.gsmarena.com/samsung_z-6403.php","5","https://www.gsmarena.com/samsung-phones-f-9-0-p5.php","Samsung Z","GSM / HSPA / LTE","2014, June. Released 2014, Q3","Discontinued","138.2 x 69.8 x 8.5 mm (5.44 x 2.75 x 0.33 in)","136 g (4.80 oz)","null","Micro-SIM","null","Super AMOLED","4.8 inches, 63.5 cm2 (~65.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~306 ppi density)","null","Tizen 2.2.1","null","Quad-core 2.3 GHz","null","microSDXC (dedicated slot)","16GB 2GB RAM","null","Single","8 MP, AF","LED flash","Yes","Single","null","","Yes","Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.0, A2DP, EDR, LE","Yes","No","microUSB 2.0","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate","SNS integration

MP4/WMV/H.264 player

MP3/WAV/eAAC+/WMA/FLAC player

Organizer

Photo viewer

Document viewer

Voice memo/dial

Predictive text input","Li-Ion 2600 mAh, removable","null","Black, Black/brown","null","null","null","null"
"1672847317-16371","https://www.gsmarena.com/makers.php3","Samsung
1348 devices","https://www.gsmarena.com/samsung-phones-9.php","Galaxy W","https://www.gsmarena.com/samsung_galaxy_w-6404.php","5","https://www.gsmarena.com/samsung-phones-f-9-0-p5.php","Samsung Galaxy W","GSM / HSPA / LTE","2014, June. Released 2014, September","Discontinued","191.8 x 99.6 x 8.8 mm (7.55 x 3.92 x 0.35 in)","245 g (8.64 oz)","null","Micro-SIM","null","TFT","7.0 inches, 135.1 cm2 (~70.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~210 ppi density)","null","Android 4.3 (Jelly Bean)","null","Quad-core 1.2 GHz","null","microSDXC (dedicated slot)","16GB 1.5GB RAM","null","Single","8 MP, AF","LED flash","1080p@30fps","Single","null","","Yes","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","Yes","No","microUSB 2.0","Accelerometer, compass, proximity","ANT+","Li-Ion 3200 mAh, removable","null","Black, white, red","null","null","null","About 360 EUR"
"1672847319-16372","https://www.gsmarena.com/makers.php3","Samsung
1348 devices","https://www.gsmarena.com/samsung-phones-9.php","I9301I Galaxy S3 Neo","https://www.gsmarena.com/samsung_i9301i_galaxy_s3_neo-6433.php","5","https://www.gsmarena.com/samsung-phones-f-9-0-p5.php","Samsung I9301I Galaxy S3 Neo","GSM / HSPA","2014, June. Released 2014, June","Discontinued","136.6 x 70.7 x 8.6 mm (5.38 x 2.78 x 0.34 in)","132 g (4.66 oz)","null","Micro-SIM","null","Super AMOLED","4.8 inches, 63.5 cm2 (~65.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~306 ppi density)","null","Android 4.4.2 (KitKat)","Qualcomm MSM8228 Snapdragon 400 (28 nm)","Quad-core 1.4 GHz Cortex-A7","Adreno 305","microSDXC (dedicated slot)","16GB 1.5GB RAM","eMMC 4.5","Single","8 MP, AF","LED flash","1080p@30fps","Single","null","720p@30fps","Yes","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, EDR, aptX","TBC","Stereo FM radio, RDS","microUSB 2.0","Accelerometer, gyro, proximity, compass","S-Voice natural language commands and dictation","Li-Ion 2100 mAh, removable","null","White, Blue","null","null","null","About 270 EUR"
"1672847321-16373","https://www.gsmarena.com/makers.php3","Samsung
1348 devices","https://www.gsmarena.com/samsung-phones-9.php","Galaxy Core Lite LTE","https://www.gsmarena.com/samsung_galaxy_core_lite_lte-6432.php","5","https://www.gsmarena.com/samsung-phones-f-9-0-p5.php","Samsung Galaxy Core Lite LTE","GSM / HSPA / LTE","2014, June. Released 2014, June","Discontinued","133.1 x 70 x 9.9 mm (5.24 x 2.76 x 0.39 in)","149 g (5.26 oz)","null","Micro-SIM","null","TFT","4.7 inches, 62.9 cm2 (~67.5% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~199 ppi density)","null","Android 4.3 (Jelly Bean)","null","Quad-core 1.2 GHz","null","microSDXC (dedicated slot)","8GB 1GB RAM","null","Single","5 MP, AF","LED flash","720p@30fps","","null","null","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes","No","microUSB 2.0","Accelerometer, proximity","null","Li-Ion 2000 mAh, removable","null","White","null","null","null","About 210 EUR"
